Contig ID	Length (nt)
IGH_NC_036882.1	196562556
IGH_NC_036888.1	110513671
IGH_NC_036893.1	87716528
IGH_NC_036894.1	80519282
IGH_NC_036899.1	64035432
IGH_NC_036902.1	151576176
IGH_NW_019932926.1	57606
IGH_NW_019933031.1	15793
IGH_NW_019933075.1	192113
IGH_NW_019933110.1	172947
IGH_NW_019933462.1	86618
IGH_NW_019933679.1	35870
IGH_NW_019933749.1	66556
IGH_NW_019933782.1	53206
IGH_NW_019934589.1	36971
IGH_NW_019934614.1	35996
IGH_NW_019934737.1	34396
IGH_NW_019936060.1	12776
IGH_NW_019937164.1	136561
IGH_NW_019937184.1	380064
IGH_NW_019937189.1	301491
IGH_NW_019937192.1	1391377
IGH_NW_019937202.1	460710
