Contig ID	Length (nt)
IGH_scaffold_104_arrow_ctg1	1119097
IGH_scaffold_11_arrow_ctg1	141723
IGH_scaffold_134_arrow_ctg2	175149017
IGH_scaffold_150_arrow_ctg1	28926
IGH_scaffold_169_arrow_ctg1	35546
IGH_scaffold_175_arrow_ctg2	6232321
IGH_scaffold_223_arrow_ctg1	223466
IGH_scaffold_232_arrow_ctg1	407212
IGH_scaffold_244_arrow_ctg1	18387851
IGH_scaffold_244_arrow_ctg2	107516943
IGH_scaffold_252_arrow_ctg1	210685461
IGH_scaffold_254_arrow_ctg1	105528
IGH_scaffold_7_arrow_ctg1	25193
IGH_Super_scaffold_1	102702574
IGH_Super_scaffold_8	96947405
